職務,職務工具,職務技能,職業證照,薪資待遇(菜鳥),薪資待遇(老鳥),,,,,,,,,,,,,,,
軟體工程師,程式語言、JavaScript、Java,軟體程式設計、軟體工程系統開發、RESTful,-,"$48,775","$62,164",,,,,,,,,,,,,,,
行政人員,中文打字50~75、資料庫系統,行政事務處理、文件收發與檔案管理、顧客接待,-,"$31,300","$34,530",,,,,,,,,,,,,,,
Internet程式設計師,JavaScript、jQuery、Git,軟體程式設計、RESTful、軟體工程系統開發,-,"$48,707","$56,965",,,,,,,,,,,,,,,
券商後線人員,交割、輸單、基金事務,證券商業務員、金融市場常識與職業道德、期貨業務員證照,-,"$36,771","$45,473",,,,,,,,,,,,,,,
記帳∕出納∕一般會計,調節表、會計系統,帳務處理、編製帳務報表、會計帳務,丙級會計事務技術士,"$32,605","$37,617",,,,,,,,,,,,,,,
其他專案管理師,Progress,專案管理、專案時間╱進度控管、NPI,國際專案管理師PMP,"$47,493","$54,394",,,,,,,,,,,,,,,
電話客服類人員,辦公室軟體、中文打字50~75,客服、顧客接待、客訴案件處理,-,"$33,023","$37,002",,,,,,,,,,,,,,,
銀行辦事員,客戶關係經理、ACM,徵授信、KYC、AML,信託業業務人員信託業務專業測驗、銀行內部控制與內部稽核、人身保險業務員,"$36,241","$43,625",,,,,,,,,,,,,,,
秘書,中文打字20~50,行政事務處理、文書資料處理、會議安排,丙級會計,"$33,422","$39,184",,,,,,,,,,,,,,,
產品售後技術服務,Linux、儀器設備,維修、產品服務、技術諮詢,-,"$40,054","$48,978",,,,,,,,,,,,,,,
國內業務人員,-,商品銷售、業務開發、客戶經營,-,"$39,159","$49,185",,,,,,,,,,,,,,,
軟韌體測試工程師,Linux、Python、C++,功能測試(function test)、測試計劃及測試報告書撰寫、軟體整合測試,-,"$45,067","$56,085",,,,,,,,,,,,,,,
財務會計助理,會計系統、調節表,帳務處理、會計帳務、應付款項帳務,丙級會計事務技術士,"$28,746","$32,525",,,,,,,,,,,,,,,
門市∕店員∕專櫃人員,Facebook,商品銷售、陳列、收銀結帳,-,"$30,321","$35,369",,,,,,,,,,,,,,,
其他資訊專業人員,Java、Linux、JavaScript,資安、軟體程式設計、軟體工程系統開發,-,"$46,607","$56,004",,,,,,,,,,,,,,,
