課程編碼,課程名稱,入學年度,開課年度,開課學期,開課年級,學習技能
AB01017,中級會計學,104,104,1,資財一,中級會計
,企業資料通訊,104,106,2,資財二,網路七層
AB01013,財經專業證照進階講座,104,104,2,資財二,
AB01015,衍生性金融商品,104,104,1,資財三,衍生性金融商品證照
AB03017,國際財務管理,104,104,2,資財三,初階外匯證照
,企業資料通訊,105,106,2,資財二,網路七層
AB01015,財經專業證照實務講座,104,104,1,資財二,金融常識與職業道德證照
,企業資料通訊,106,106,2,資財二,網路七層
,企業資源規劃,104,106,2,資財四,ERP、輔導考取ERP規劃師證照
AB01015,資訊創新達人國際證照講座,104,104,2,資財三,PHOTOSHOP
AB03017,國際財務管理,104,105,2,資財三,初階外匯證照
,企業資源規劃,104,107,2,資財三,ERP、輔導考取ERP規劃師證照
AB03017,國際財務管理,104,106,2,資財三,初階外匯證照
AB03017,國際財務管理,105,105,2,資財三,初階外匯證照
,企業資源規劃,105,106,2,資財四,ERP、輔導考取ERP規劃師證照
,企業資源規劃,105,107,2,資財三,ERP、輔導考取ERP規劃師證照
AB03017,國際財務管理,105,106,2,資財三,初階外匯證照
AB01015,財經專業證照實務講座,104,105,1,資財二,金融常識與職業道德證照
AB01015,資訊創新達人國際證照講座,104,105,1,資財二,PHOTOSHOP
AB03007,資料結構,104,105,1,資財二,java
AB01015,資訊創新達人國際證照講座,105,105,1,資財二,PHOTOSHOP
AB02014,大數據分析,104,105,1,資財三,R程式、類神經網路、預測模型
AB04019,創新創業講座-互聯網+探索大未來,104,105,1,資財三,互聯網
,企業資源規劃,106,106,2,資財四,ERP、輔導考取ERP規劃師證照
,企業資源規劃,106,107,2,資財三,ERP、輔導考取ERP規劃師證照
AB02015,行動裝置概論,104,105,2,資財二,Android App
AB03017,國際財務管理,105,108,2,資財三,初階外匯證照
AB04011,資料探勘研究與實務,104,105,2,資財二,分類、群集分析、資料探勘軟體實作 
,企業資源規劃,107,107,2,資財三,ERP、輔導考取ERP規劃師證照
AB04020,網路服務創新創業,104,105,2,資財四,
,投資理財實務講座,104,105,2,資財四,投資理財
,投資理財實務講座,105,105,2,資財四,投資理財
AB04025,行銷管理,104,106,1,資財四,行銷專案企劃
,使用者體驗設計,107,110,1,資財四,使用者體驗服務跟介面(UI/UX)
AB03007,資料結構,104,106,1,資財二,java
AB02014,大數據分析,104,106,1,資財三,R程式、類神經網路、預測模型
,使用者體驗設計,108,110,1,資財四,使用者體驗服務跟介面(UI/UX)
,物聯網智慧應用,104,104,2,資財所,物聯網、資訊科技
AB04024,跨境電商,104,106,1,資財四,電商平台開發
,知識管理,104,104,2,資財三,
,金融大數據,104,107,1,資財四,Weka、Rapidminer、數據分析(預測模型、文字探勘、推薦系統)
,金融大數據,105,107,1,資財四,Weka、Rapidminer、數據分析(預測模型、文字探勘、推薦系統)
AB04026,演算法交易,104,106,2,資財三,言、程式交易軟體、技術指標視覺化、XQ軟體
AB01017,中級會計學,104,106,2,資財一,中級會計
AB02015,行動裝置概論,104,106,2,資財二,Android App
AB03017,國際財務管理,106,106,2,資財三,初階外匯證照
,金融大數據,105,108,2,資財四,Weka、Rapidminer、數據分析(預測模型、文字探勘、推薦系統)
,金融大數據,106,107,1,資財四,Weka、Rapidminer、數據分析(預測模型、文字探勘、推薦系統)
AB03029,Java進階程式設計,104,106,2,資財三,Java
AB03030,C語言程式設計,104,106,2,資財三,C、C++
AB01025,網路與資安概論,104,106,2,資財一,網路導論與資料通訊、網路安全
,金融大數據,106,108,2,資財四,Weka、Rapidminer、數據分析(預測模型、文字探勘、推薦系統)
,金融大數據,106,109,1,資財四,Weka、Rapidminer、數據分析(預測模型、文字探勘、推薦系統)
AB01017,中級會計學,104,107,1,資財一,中級會計
,金融大數據,107,107,1,資財四,Weka、Rapidminer、數據分析(預測模型、文字探勘、推薦系統)
AB04025,行銷管理,104,107,1,資財四,行銷專案企劃
AB02019,個體經濟,104,107,1,資財二,-
AB04026,演算法交易,105,106,2,資財三,R語言、程式交易軟體、技術指標視覺化、XQ軟體
AB01025,網路與資安概論,105,106,2,資財一,網路導論與資料通訊、網路安全
AB04024,跨境電商,105,106,1,資財四,電商平台開發
AB02015,行動裝置概論,104,107,1,資財二,Android studio開發
,金融大數據,107,108,2,資財四,Weka、Rapidminer、數據分析(預測模型、文字探勘、推薦系統)
AB02009,商事法,104,107,2,資財三,商事法、商業登記法、公司法、票據法、保險法
,金融大數據,107,109,1,資財四,Weka、Rapidminer、數據分析(預測模型、文字探勘、推薦系統)
AB03008,知識管理,104,107,2,資財三,
AB03034,顧客關係管理,104,107,2,資財四,資料探勘、CRM
AB03036,人工智慧與應用,104,107,2,資財三,人工智慧架構與應用、類神經、基因演算法與應用、物聯網
AB06043,演算法交易,106,106,2,資財三,R語言、程式交易軟體、技術指標視覺化、XQ軟體
AB02020,總體經濟,104,107,2,資財二,-
AB03007,資料結構,104,107,2,資財二,python
AB02022,成本會計學,104,107,2,資財二,成本會計
AB03035,資訊安全導論,104,107,2,資財二,"資訊安全(資訊安全介紹,基礎密碼學介紹,電腦病毒與惡意程式,網路安全與攻擊,網路安全防護,應用層安全, 網頁安全,雲端安全,物聯網安全,個人資料保護)"
AB02019,個體經濟,104,107,2,資財一,-
,金融大數據,108,108,2,資財四,Weka、Rapidminer、數據分析(預測模型、文字探勘、推薦系統)
,金融大數據,108,109,1,資財四,Weka、Rapidminer、數據分析(預測模型、文字探勘、推薦系統)
AB02009,商事法,105,105,1,資財三,商事法、商業登記法、公司法、票據法、保險法
,金融市場,104,104,2,資財三,
AB03017,國際財務管理,106,108,2,資財三,初階外匯證照
AB01015,財經專業證照實務講座,105,105,1,資財二,金融常識與職業道德證照
AB04018,資訊管理技能及創意個案實務研討,104,105,1,資財四,
AB03007,資料結構,105,105,1,資財二,java
AB06035,資訊管理技能及創意個案實務研討,105,105,1,資財四,
AB02014,大數據分析,105,105,1,資財三,R程式、類神經網路、預測模型
AB02010,系統分析與設計,105,105,1,資財三,資料庫規劃、分析與設計、UML、UI/UX
AB06041,創新創業講座-互聯網+探索大未來,105,105,1,資財三,互聯網
,金融市場,104,105,2,資財三,
AB02015,行動裝置概論,105,105,2,資財二,Android App
AB03017,國際財務管理,106,109,2,資財三,初階外匯證照
AB04011,資料探勘研究與實務,105,105,2,資財二,分類、群集分析、資料探勘軟體實作 
,金融市場,105,105,2,資財三,
AB05025,網路服務創新創業,105,105,2,資財四,
,金融科技,104,105,1,資財四,區塊鏈、金融科技證照
,金融科技,105,105,1,資財四,區塊鏈、金融科技證照
AB04025,行銷管理,105,106,1,資財四,行銷專案企劃
,金融科技,105,108,1,資財三,區塊鏈、金融科技證照
,金融科技,106,108,1,資財三,區塊鏈、金融科技證照
