系所,課程編碼,課程名稱,必選修別,專業領域,是否持續開課,上次開課年度,上次開課學期,所學技能
資財系,AB01001,會計學(ㄧ),必修,會計與財務管理,是,105,1,
資財系,AB01002,經濟學(一),必修,經濟學,否,,,
資財系,AB01003,微積分(ㄧ),必修,數學與統計,是,112,1,
資財系,AB01004,計算機概論,必修,計算機科學與程式設計,是,112,1,
資財系,AB01005,程式設計(ㄧ),必修,計算機科學與程式設計,是,112,1,
資財系,AB01006,會計學(二),必修,會計與財務管理,是,105,2,
資財系,AB01007,經濟學(二),必修,經濟學,是,106,2,
資財系,AB01008,微積分(二),必修,數學與統計,是,111,2,
資財系,AB01009,財務金融入門,必修,會計與財務管理,是,105,2,
資財系,AB01010,程式設計(二),必修,計算機科學與程式設計,是,111,2,
資財系,AB01011,程式設計實習,必修,計算機科學與程式設計,是,109,2,
資財系,AB01012,財務金融實習,必修,會計與財務管理,是,111,2,
資財系,AB01013,財經專業證照進階講座,選修,會計與財務管理,是,104,2,
資財系,AB01014,國際專業證照研訓實務講座,選修,其他相關領域,是,104,2,
資財系,AB01015,財經專業證照實務講座,選修,會計與財務管理,是,105,1,
資財系,AB01016,國際專業證照進階實務講座,選修,其他相關領域,否,,,
資財系,AB01017,中級會計學,選修,會計與財務管理,是,111,1,
資財系,AB01018,資訊創新達人國際證照講座,選修,資訊科技與管理,是,104,2,
資財系,AB01019,國際專業證照研訓進階講座,選修,其他相關領域,是,104,2,
資財系,AB01020,自主學習,選修,其他相關領域,是,107,2,
資財系,AB01021,會計學,必修,會計與財務管理,是,112,1,
資財系,AB01022,程式設計實習,必修,計算機科學與程式設計,是,109,2,
資財系,AB01023,經濟學,必修,經濟學,是,111,2,
資財系,AB01024,財務管理,必修,會計與財務管理,是,111,2,
資財系,AB01025,網路與資安概論,選修,資訊科技與管理,是,109,1,
資財系,AB01026,金融常識與職業道德,選修,其他相關領域,否,,,
資財系,AB01027,大數據技術與應用概論,選修,市場行銷與數據分析,否,,,
資財系,AB01028,計算機概論,必修,計算機科學與程式設計,是,112,1,
資財系,AB01901,個體經濟學,選修,經濟學,否,,,
資財系,AB02001,統計(一),必修,數學與統計,是,112,1,
資財系,AB02002,管理數學,必修,數學與統計,是,106,1,
資財系,AB02003,財務管理,必修,會計與財務管理,是,111,2,
資財系,AB02004,管理學,必修,商業與管理,是,112,1,
資財系,AB02005,資料庫管理(一),必修,資訊科技與管理,是,106,1,
資財系,AB02006,統計(二),必修,數學與統計,是,111,2,
資財系,AB02007,企業資料通訊,必修,資訊科技與管理,是,111,2,
資財系,AB02008,投資學,必修,會計與財務管理,是,112,1,
資財系,AB02009,商事法,選修,商業與管理,是,112,1,
資財系,AB02010,系統分析與設計,必修,計算機科學與程式設計,是,112,1,
資財系,AB02011,民法總則,選修,商業與管理,否,,,
資財系,AB02012,進階程式設計,選修,計算機科學與程式設計,否,,,
資財系,AB02013,財務管理與資訊應用,必修,會計與財務管理,否,,,
資財系,AB02014,大數據分析,選修,市場行銷與數據分析,是,112,1,
資財系,AB02015,行動裝置概論,選修,市場行銷與數據分析,否,,,
資財系,AB02016,金融市場,必修,金融科技,是,111,2,
資財系,AB02017,財務金融實習,必修,會計與財務管理,是,111,2,
資財系,AB02018,資料庫管理,必修,資訊科技與管理,是,112,1,
資財系,AB02019,個體經濟,選修,經濟學,是,109,2,
資財系,AB02020,總體經濟,選修,經濟學,是,109,1,
資財系,AB02021,COBOL商用程式設計,選修,計算機科學與程式設計,是,107,2,
資財系,AB02022,成本會計學,選修,會計與財務管理,否,,,
資財系,AB02023,商用程式設計,選修,計算機科學與程式設計,是,112,1,
資財系,AB02024,財金時事選讀,選修,會計與財務管理,是,112,1,
資財系,AB02025,資訊安全教育應用,選修,網路與安全,是,111,2,
資財系,AB02026,企業網路,選修,資訊科技與管理,否,,,
資財系,AB02027,資訊安全,選修,網路與安全,否,,,
資財系,AB02901,進階總體經濟學,選修,經濟學,否,,,
資財系,AB03001,管理資訊系統,必修,資訊科技與管理,是,111,2,
資財系,AB03002,財務報表分析,必修,會計與財務管理,是,112,1,
資財系,AB03003,作業系統,選修,資訊科技與管理,否,,,
資財系,AB03004,電子商務,選修,資訊科技與管理,是,112,1,
資財系,AB03005,資訊與財金專題,必修,其他相關領域,是,112,1,
資財系,AB03006,資訊與法律,必修,資訊科技與管理,是,107,2,
資財系,AB03007,資料結構,選修,資訊科技與管理,是,111,2,
資財系,AB03008,知識管理,選修,資訊科技與管理,是,105,2,
資財系,AB03009,數位科技與智財權管理,選修,資訊科技與管理,否,,,
資財系,AB03010,金融機構管理,選修,商業與管理,是,108,2,
資財系,AB03011,投資組合分析與管理,選修,會計與財務管理,是,110,2,
資財系,AB03012,企業價值分析,選修,會計與財務管理,否,,,
資財系,AB03013,投資理財實習,必修,金融科技,是,111,1,
資財系,AB03014,管理資訊系統實習,選修,資訊科技與管理,否,,,
資財系,AB03015,資訊與法律實習,選修,資訊科技與管理,是,104,2,
資財系,AB03016,企業倫理,必修,商業與管理,是,112,1,
資財系,AB03017,國際財務管理,選修,商業與管理,是,106,2,
資財系,AB03018,金融市場,必修,金融科技,是,111,2,
資財系,AB03019,金融科技,選修,金融科技,是,112,1,
資財系,AB03020,金融科技實務講座,選修,金融科技,是,105,1,
資財系,AB05047,雲端服務專題研討,選修,資訊科技與管理,否,,,
資財系,AB03022,投資理財實務講座,選修,會計與財務管理,是,105,2,
資財系,AB03023,企業資料通訊,必修,資訊科技與管理,是,111,2,
資財系,AB03024,投資理財實習,必修,金融科技,是,111,1,
資財系,AB03025,期貨與選擇權,必修,會計與財務管理,是,111,2,
資財系,AB03026,金融大數據,選修,市場行銷與數據分析,是,111,2,
資財系,AB03027,衍生性金融商品,選修,會計與財務管理,是,108,1,
資財系,AB03028,金融科技應用程式介面實務講座,選修,金融科技,是,106,1,
資財系,AB03029,Java進階程式設計,選修,計算機科學與程式設計,是,106,2,
資財系,AB03030,C語言程式設計,選修,計算機科學與程式設計,是,106,2,
資財系,AB03031,資金管理,選修,會計與財務管理,是,111,2,
資財系,AB04026,演算法交易,選修,計算機科學與程式設計,是,112,1,
資財系,AB03034,顧客關係管理,選修,商業與管理,是,108,2,
資財系,AB03035,資訊安全導論,選修,網路與安全,是,111,2,
資財系,AB03036,人工智慧與應用,選修,資訊科技與管理,是,111,2,
資財系,AB03037,2019微型創業實戰,選修,創新與創業,是,107,2,
資財系,AB03038,網路與系統安全,選修,網路與安全,是,112,1,
資財系,AB03039,數位鑑識與調查,選修,網路與安全,是,111,2,
資財系,AB04017,雲端軟體即服務系統開發與設計實,選修,計算機科學與程式設計,是,106,1,
資財系,AB04010,財務工程與金融計算,選修,會計與財務管理,是,107,1,
資財系,AB06040,財務工程與金融計算,選修,會計與財務管理,是,107,1,
資財系,AB03043,商業智慧與管理,選修,商業與管理,是,108,2,
資財系,AB03044,證券交易法,選修,商業與管理,是,108,2,
資財系,AB03045,區塊鏈應用設計,選修,計算機科學與程式設計,是,112,1,
資財系,AB03041,財務工程與金融計算(一),選修,會計與財務管理,是,108,1,
資財系,AB03047,電商人才培育證照講座,選修,商業與管理,是,109,2,
資財系,AB03048,財務數值方法,選修,數學與統計,是,111,2,
資財系,AB03049,金融科技與服務創新流程,選修,金融科技,是,111,2,
資財系,AB03050,智能合約撰寫,選修,金融科技,是,111,2,
資財系,AB03051,金融科技智慧財產權的管理與應用,選修,金融科技,是,110,2,
資財系,AB03052,資訊與財金專題,必修,其他相關領域,是,112,1,
資財系,AB03053,金融數據分析邏輯思維,選修,市場行銷與數據分析,是,110,2,
資財系,AB03054,科技管理,選修,資訊科技與管理,是,110,2,
資財系,AB03055,人工智慧與最佳化,選修,資訊科技與管理,否,,,
資財系,AB03056,外匯市場理論與實務,選修,商業與管理,是,112,1,
資財系,AB03057,數位轉型研討,選修,創新與創業,是,111,2,
資財系,AB05078,雲端軟體即服務系統開發與設計實,選修,計算機科學與程式設計,是,106,1,
資財系,AB03059,金融資訊安全,選修,網路與安全,是,111,2,
資財系,AB03060,校外實習,選修,其他相關領域,是,112,1,
資財系,AB03061,人工智慧跨域金融之應用,選修,資訊科技與管理,是,112,1,
資財系,AB03062,人工智慧跨域資安之應用,選修,資訊科技與管理,否,,,
資財系,AB03063,企業倫理與永續管理,必修,商業與管理,否,,,
資財系,AB03064,金融教育分析與邏輯思維,選修,市場行銷與數據分析,是,112,1,
資財系,AB03065,新興支付應用暨產業發展,選修,創新與創業,是,112,1,
資財系,AB03066,物聯網系統設計與商業應用,選修,計算機科學與程式設計,是,112,1,
資財系,AB03067,資料庫安全實務,選修,網路與安全,是,112,1,
